survey_date,panel,distributed_date,received_by_date,source_file,notes
2017-05-01,SMP,2017-04-20,2017-04-24,data_raw/may-2017-SMP-Results-Public-Release.pdf,
2017-06-01,SMP,2017-06-01,2017-06-05,data_raw/jun-2017-smp-results.pdf,
2017-06-01,SPD,2017-06-01,2017-06-05,data_raw/jun-2017-spd-results.pdf,
2017-07-01,SMP,2017-07-13,2017-07-17,data_raw/jul-2017-smp-results.pdf,
2017-07-01,SPD,2017-07-13,2017-07-17,data_raw/jul-2017-spd-results.pdf,
2017-09-01,SMP,2017-09-07,2017-09-11,data_raw/sep-2017-smp-results.pdf,
2017-09-01,SPD,2017-09-07,2017-09-11,data_raw/sep-2017-spd-results.pdf,
2017-11-01,SMP,2017-10-19,2017-10-23,data_raw/oct-nov-2017-smp-results.pdf,
2017-11-01,SPD,2017-10-19,2017-10-23,data_raw/oct-nov-2017-spd-results.pdf,
2017-12-01,SMP,2017-11-30,2017-12-04,data_raw/dec-2017-smp-results.pdf,
2017-12-01,SPD,2017-11-30,2017-12-04,data_raw/dec-2017-spd-results.pdf,
2018-01-01,SMP,2018-01-18,2018-01-22,data_raw/jan-2018-smp-results.pdf,
2018-01-01,SPD,2018-01-18,2018-01-22,data_raw/jan-2018-spd-results.pdf,
2018-03-01,SMP,2018-03-08,2018-03-12,data_raw/mar-2018-smp-results.pdf,
2018-03-01,SPD,2018-03-08,2018-03-12,data_raw/mar-2018-spd-results.pdf,
2018-05-01,SMP,2018-04-19,2018-04-23,data_raw/may-2018-smp-results.pdf,
2018-05-01,SPD,2018-04-19,2018-04-23,data_raw/may-2018-spd-results.pdf,
2018-06-01,SMP,2018-05-31,2018-06-04,data_raw/jun-2018-smp-results.pdf,
2018-06-01,SPD,2018-05-31,2018-06-04,data_raw/jun-2018-spd-results.pdf,
2018-08-01,SMP,2018-07-19,2018-07-23,data_raw/jul-aug-2018-smp-results.pdf,
2018-08-01,SPD,2018-07-19,2018-07-23,data_raw/jul-aug-2018-spd-results.pdf,
2018-09-01,SMP,2018-09-13,2018-09-17,data_raw/sep-2018-smp-results.pdf,
2018-09-01,SPD,2018-09-13,2018-09-17,data_raw/sep-2018-spd-results.pdf,
2018-11-01,SMP,2018-10-25,2018-10-29,data_raw/nov-2018-smp-results.pdf,
2018-11-01,SPD,2018-10-25,2018-10-29,data_raw/nov-2018-spd-results.pdf,
2018-12-01,SMP,2018-12-06,2018-12-10,data_raw/dec-2018-smp-results.pdf,
2018-12-01,SPD,2018-12-06,2018-12-10,data_raw/dec-2018-spd-results.pdf,
2019-01-01,SMP,2019-01-17,2019-01-22,data_raw/jan-2019-smp-results.pdf,
2019-01-01,SPD,2019-01-17,2019-01-22,data_raw/jan-2019-spd-results.pdf,
2019-03-01,SMP,2019-03-06,2019-03-11,data_raw/mar-2019-smp-results.pdf,
2019-03-01,SPD,2019-03-06,2019-03-11,data_raw/mar-2019-spd-results.pdf,
2019-05-01,SMP,2019-04-17,2019-04-22,data_raw/apr-may-2019-smp-results.pdf,
2019-05-01,SPD,2019-04-17,2019-04-22,data_raw/apr-may-2019-spd-results.pdf,
2019-06-01,SMP,2019-06-05,2019-06-10,data_raw/jun-2019-smp-results.pdf,
2019-06-01,SPD,2019-06-05,2019-06-10,data_raw/jun-2019-spd-results.pdf,
2019-07-01,SMP,2019-07-17,2019-07-22,data_raw/jul-2019-smp-results.pdf,
2019-07-01,SPD,2019-07-17,2019-07-22,data_raw/jul-2019-spd-results.pdf,
2019-09-01,SMP,2019-09-04,2019-09-09,data_raw/sep-2019-smp-results.pdf,
2019-09-01,SPD,2019-09-04,2019-09-09,data_raw/sep-2019-spd-results.pdf,
2019-10-01,SMP,2019-10-16,2019-10-21,data_raw/oct-2019-smp-results.pdf,
2019-10-01,SPD,2019-10-16,2019-10-21,data_raw/oct-2019-spd-results.pdf,
2019-12-01,SMP,2019-11-26,2019-12-02,data_raw/dec-2019-smp-results.pdf,
2019-12-01,SPD,2019-11-26,2019-12-02,data_raw/dec-2019-spd-results.pdf,
2020-01-01,SMP,2020-01-15,2020-01-21,data_raw/jan-2020-smp-results.pdf,
2020-01-01,SPD,2020-01-15,2020-01-21,data_raw/jan-2020-spd-results.pdf,
2020-03-01,SMP,2020-03-04,2020-03-09,data_raw/mar-2020-smp-results.pdf,
2020-03-01,SPD,2020-03-04,2020-03-09,data_raw/mar-2020-spd-results.pdf,
2020-04-01,SMP,2020-04-15,2020-04-20,data_raw/apr-2020-smp-results.pdf,
2020-04-01,SPD,2020-04-15,2020-04-20,data_raw/apr-2020-spd-results.pdf,
2020-06-01,SMP,2020-05-27,2020-06-01,data_raw/jun-2020-smp-results.pdf,
2020-06-01,SPD,2020-05-27,2020-06-01,data_raw/jun-2020-spd-results.pdf,
2020-07-01,SMP,2020-07-15,2020-07-20,data_raw/jul-2020-smp-results.pdf,
2020-07-01,SPD,2020-07-15,2020-07-20,data_raw/jul-2020-spd-results.pdf,
2020-09-01,SMP,2020-09-02,2020-09-08,data_raw/sep-2020-smp-results.pdf,
2020-09-01,SPD,2020-09-02,2020-09-08,data_raw/sep-2020-spd-results.pdf,
2020-11-01,SMP,2020-10-21,2020-10-26,data_raw/nov-2020-smp-results.pdf,
2020-11-01,SPD,2020-10-21,2020-10-26,data_raw/nov-2020-spd-results.pdf,
2020-12-01,SMP,2020-12-02,2020-12-07,data_raw/dec-2020-smp-results.pdf,
2020-12-01,SPD,2020-12-02,2020-12-07,data_raw/dec-2020-spd-results.pdf,
2021-01-01,SMP,2021-01-13,2021-01-19,data_raw/jan-2021-smp-results.pdf,
2021-01-01,SPD,2021-01-13,2021-01-19,data_raw/jan-2021-spd-results.pdf,
2021-03-01,SMP,2021-03-03,2021-03-08,data_raw/mar-2021-smp-results.pdf,
2021-03-01,SPD,2021-03-03,2021-03-08,data_raw/mar-2021-spd-results.pdf,
2021-04-01,SMP,2021-04-14,2021-04-19,data_raw/apr-2021-smp-results.pdf,
2021-04-01,SPD,2021-04-14,2021-04-19,data_raw/apr-2021-spd-results.pdf,
2021-06-01,SMP,2021-06-02,2021-06-07,data_raw/jun-2021-smp-results.pdf,
2021-06-01,SPD,2021-06-02,2021-06-07,data_raw/jun-2021-spd-results.pdf,
2021-07-01,SMP,2021-07-14,2021-07-19,data_raw/jul-2021-smp-results.pdf,
2021-07-01,SPD,2021-07-14,2021-07-19,data_raw/jul-2021-spd-results.pdf,
2021-09-01,SMP,2021-09-08,2021-09-13,data_raw/sep-2021-smp-results.pdf,
2021-09-01,SPD,2021-09-08,2021-09-13,data_raw/sep-2021-spd-results.pdf,
2021-11-01,SMP,2021-10-20,2021-10-25,data_raw/nov-2021-smp-results.pdf,
2021-11-01,SPD,2021-10-20,2021-10-25,data_raw/nov-2021-spd-results.pdf,
2021-12-01,SMP,2021-12-01,2021-12-06,data_raw/dec-2021-smp-results.pdf,
2021-12-01,SPD,2021-12-01,2021-12-06,data_raw/dec-2021-spd-results.pdf,
2022-01-01,SMP,2022-01-12,2022-01-18,data_raw/jan-2022-smp-results.pdf,
2022-01-01,SPD,2022-01-12,2022-01-18,data_raw/jan-2022-spd-results.pdf,
2022-03-01,SMP,2022-03-02,2022-03-07,data_raw/mar-2022-smp-results.pdf,
2022-03-01,SPD,2022-03-02,2022-03-07,data_raw/mar-2022-spd-results.pdf,
2022-05-01,SMP,2022-04-20,2022-04-25,data_raw/may-2022-smp-results.pdf,
2022-05-01,SPD,2022-04-20,2022-04-25,data_raw/may-2022-spd-results.pdf,
2022-06-01,SMP,2022-06-01,2022-06-06,data_raw/jun-2022-smp-results.pdf,
