sample_type,sample,n,first_received_by_date,last_received_by_date,corr_sep_change_survey_change,r_squared,intercept_bps,slope_survey_bps_per_sep_bp,mean_abs_sep_change_bps,mean_abs_survey_change_bps,median_abs_sep_change_bps,median_abs_survey_change_bps,both_nonzero_n,directional_accuracy_both_nonzero,sep_nonzero_n,directional_accuracy_when_sep_moves,survey_nonzero_n,directional_accuracy_when_survey_moves,avg_days_since_sep_release
survey_level,All,228,2012-07-23,2026-04-20,0.301,0.091,-0.17,0.275,5.5,4.5,0.0,0.0,40,0.775,79,0.392,80,0.388,60.7
survey_level,SPD,109,2012-07-23,2026-04-20,0.279,0.078,-0.38,0.205,5.5,3.6,0.0,0.0,14,0.786,36,0.306,31,0.355,60.7
survey_level,SMP,97,2014-03-10,2026-04-20,0.333,0.111,-0.31,0.362,5.6,5.6,0.0,0.0,22,0.773,34,0.5,40,0.425,61.0
survey_level,Combined,22,2023-09-11,2026-04-20,-0.053,0.003,3.15,-0.058,5.0,4.2,0.0,0.0,4,0.75,9,0.333,9,0.333,59.5
event_level_first_survey,All,116,2012-07-23,2026-04-20,0.498,0.248,-0.12,0.52,5.8,5.6,0.0,0.0,25,0.92,42,0.548,46,0.5,37.3
event_level_first_survey,SPD,55,2012-07-23,2026-04-20,0.488,0.238,0.31,0.409,5.8,4.8,0.0,0.0,11,0.909,19,0.526,20,0.5,36.7
event_level_first_survey,SMP,49,2014-03-10,2026-04-20,0.523,0.274,-0.98,0.652,5.9,6.8,0.0,0.0,12,0.917,18,0.611,21,0.524,37.2
event_level_first_survey,Combined,12,2023-09-11,2026-04-20,0.232,0.054,2.57,0.27,5.0,4.4,0.0,0.0,2,1.0,5,0.4,5,0.4,40.8
